Human.Gene	Mouse.Gene	Gene.Type	Cell.Type	Tissue.of.Origin	Reference	Added.By	Added.Date	Comments
MORN5	Morn5	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
OTUB2	Otub2	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
TSKS	Tsks	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
ATL3	Atl3	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
DMRTB1	Dmrtb1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
TMCO2	Tmco2	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
FHL5	Fhl5	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
MS4A5	Ms4a5	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
CST8	Cst8	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
TMEM247	Tmem247	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
GALNTL5	Galntl5	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
OSBP2	Osbp2	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
TEX33	Tex33	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
SPATA20	Spata20	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
CDRT4	Cdrt4	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
SPATA18	Spata18	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
LRRC18	Lrrc18	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
SCP2D1	Scp2d1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
IQCF1	Iqcf1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
PGK2	Pgk2	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
TULP2	Tulp2	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
CCDC54	Ccdc54	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
AKAP4	Akap4	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
GTSF1	Gtsf1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
PPP3R2	Ppp3r2	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
TPPP2	Tppp2	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
LELP1	Lelp1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
CATSPERZ	Catsperz	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
MAEL	Mael	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
PGAM2	Pgam2	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
TMEM53	Tmem53	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
ACTRT2	Actrt2	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
ROPN1	Ropn1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
RNF151	Rnf151	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
CABS1	Cabs1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
CCDC91	Ccdc91	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
SPATA3	Spata3	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
LRRC46	Lrrc46	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
PDCL2	Pdcl2	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
TSSK6	Tssk6	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
COX8C	Cox8b	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
CETN1	Cetn1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
SPATA19	Spata19	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
TSSK2	Tssk2	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
ZNRF4	Znrf4	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
SPATA4	Spata4	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
FAM71E1	Fam71e1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
FAM229A	Fam229a	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
GAPDHS	Gapdhs	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
HSPB9	Hspb9	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
SPZ1	Spz1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
PRM3	Prm3	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
HMGB4	Hmgb4	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
ROPN1L	Ropn1l	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
GSG1	Gsg1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
TNP1	Tnp1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
LDHC	Ldhc	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
PRM2	Prm2	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
DNAAF1	Dnaaf1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
ACYP1	Acyp1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
SORD	Sord	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
DKKL1	Dkkl1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
RSPH1	Rsph1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
COX6B2	Cox6b2	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
MLF1	Mlf1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
SMIM24	Smim24	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
SPA17	Spa17	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
MEIG1	Meig1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
FKBP6	Fkbp6	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
TAF7L	Taf7l	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
SYCP1	Sycp1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
SOHLH1	Sohlh1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
SLC25A31	Slc25a31	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
PHF13	Phf13	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
EGR4	Egr4	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
SMC1B	Smc1b	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
TEX15	Tex15	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
MOV10L1	Mov10l1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
WDR5	Wdr5	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
DMRT1	Dmrt1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
STRA8	Stra8	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
ZMYND19	Zmynd19	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
MDN1	Mdn1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
PIWIL2	Piwil2	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
NR6A1	Nr6a1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
RSBN1L	Rsbn1l	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
DYNLT1	Dynlt1a	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
PARN	Parn	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
MKI67	Mki67	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
CHEK1	Chek1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
BRCA1	Brca1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
DMC1	Dmc1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
MRPL14	Mrpl14	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
MLH3	Mlh3	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
SPAG6	Spag6	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
ZPBP2	Zpbp2	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
DNAH6	Dnah6	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
CAMK4	Camk4	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
CREM	Crem	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
MYO1D	Myo1d	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
HOOK1	Hook1	protein-coding gene	Germ cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
SLC17A7	Slc17a7	protein-coding gene	Glutaminergic neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
SLC17A6	Slc17a6	protein-coding gene	Glutaminergic neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
GRIN1	Grin1	protein-coding gene	Glutaminergic neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
GRIN2B	Grin2b	protein-coding gene	Glutaminergic neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
GLS	Gls	protein-coding gene	Glutaminergic neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
MEIS2	Meis2	protein-coding gene	Glutaminergic neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
SLC17A8	Slc17a8	protein-coding gene	Glutaminergic neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
SLC1A1	Slc1a1	protein-coding gene	Glutaminergic neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
SLC1A2	Slc1a2	protein-coding gene	Glutaminergic neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
SLC1A6	Slc1a6	protein-coding gene	Glutaminergic neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
SLC6A9	Slc6a9	protein-coding gene	Glycinergic neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
SLC32A1	Slc32a1	protein-coding gene	Glycinergic neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
CREB3L1	Creb3l1	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
NLRP6	Nlrp6	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
MUC5AC	Muc5ac	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
SLC9A8	Slc9a8	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
OTOGL	Otogl	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
ITLN1	Itln1	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
AQP3	Aqp3	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
CDON	Cdon	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
MUC5B	Muc5b	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
TMEM207	Tmem207	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
AGR2	Agr2	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
CDX2	Cdx2	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
KRT7	Krt7	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
KRT20	Krt20	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
GUCA2A	Guca2a	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
MUC13	Muc13	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
CLCA1	Clca1	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
ZG16	Zg16	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
TPSG1	Tpsg1	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
GALNT12	Galnt12	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
ATOH1	Atoh1	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
REP15	Rep15	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
PDIA5	Pdia5	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
PLA2G10	Pla2g10	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
KLK1	Klk1	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
SPDEF	Spdef	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
LRRC26	Lrrc26	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
BACE2	Bace2	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
MANF	Manf	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
SPINK4	Spink4	protein-coding gene	Goblet cells	GI tract	PanglaoDB	PanglaoDB	2022-07-05	
AMH	Amh	protein-coding gene	Granulosa cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
MCAM	Mcam	protein-coding gene	Granulosa cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
BOK	Bok	protein-coding gene	Granulosa cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
ADAMTS1	Adamts1	protein-coding gene	Granulosa cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
LOX	Lox	protein-coding gene	Granulosa cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
FHL1	Fhl1	protein-coding gene	Granulosa cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
INHA	Inha	protein-coding gene	Granulosa cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
HTRA1	Htra1	protein-coding gene	Granulosa cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
GAPDH	Gm15294	protein-coding gene	Granulosa cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
TNNI3	Tnni3	protein-coding gene	Granulosa cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
HSD17B1	Hsd17b1	protein-coding gene	Granulosa cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
HJURP	Hjurp	protein-coding gene	Granulosa cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
FSHR	Fshr	protein-coding gene	Granulosa cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
FOXL2	Foxl2	protein-coding gene	Granulosa cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
CYP19A1	Cyp19a1	protein-coding gene	Granulosa cells	Reproductive	PanglaoDB	PanglaoDB	2022-07-05	
ETV2	Etv2	protein-coding gene	Hemangioblasts	Embryo	PanglaoDB	PanglaoDB	2022-07-05	
TAL1	Tal1	protein-coding gene	Hemangioblasts	Embryo	PanglaoDB	PanglaoDB	2022-07-05	
THY1	Thy1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
MPL	Mpl	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
KIT	Kit	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
PROM1	Prom1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
FLT3	Flt3	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
SLAMF1	Slamf1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
CXCR4	Cxcr4	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
TEK	Tek	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
ABCG2	Abcg3	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
BAALC	Baalc	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
SPN	Spn	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
CDCP1	Cdcp1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
MYADM	Myadm	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
TGFB2	Tgfb2	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
PTPRE	Ptpre	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
TAF7	Taf7	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
GATA2	Gata2	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
GPR171	Gpr171	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
ANGPT1	Angpt1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
PROCR	Procr	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
NFE2	Nfe2	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
NKX2-3	Nkx2-3	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
MEIS1	Meis1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
LYL1	Lyl1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
ELF1	Elf1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
HLF	Hlf	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
RGS18	Rgs18	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
MYCT1	Myct1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
ADGRG1	Adgrg1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
DNMT3B	Dnmt3b	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
MYCN	Mycn	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
ARID3A	Arid3a	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
ITGA2B	Itga2b	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
GATA3	Gata3	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
ROBO4	Robo4	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
TXNIP	Txnip	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
RUNX1	Runx1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
PTPRS	Ptprs	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
PTPRC	Ptprc	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
CD44	Cd44	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
GFI1	Gfi1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
CD48	Cd48	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
HMGB3	Hmgb3	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
TLR2	Tlr2	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
APC	Apc	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
GNL3	Gnl3	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
MGST1	Mgst1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
G0S2	G0s2	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
PRNP	Prnp	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
CD34	Cd34	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
BMI1	Bmi1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
ITGA4	Itga4	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
ANPEP	Anpep	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
CD33	Cd33	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
HLX	Hlx	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
NKX3-1	Nkx3-1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
THSD1	Thsd1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
NCOR2	Ncor2	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
EGR1	Egr1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
FGD5	Fgd5	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
MECOM	Mecom	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
CTNNAL1	Ctnnal1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
VWF	Vwf	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
PBX2	Pbx2	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
TAL1	Tal1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
ERG	Erg	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
NEO1	Neo1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
EGR3	Egr3	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
MAFF	Maff	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
ITGA6	Itga6	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
GJB1	Gjb1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
CDH2	Cdh2	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
ALDH1A1	Aldh1a1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
GFI1B	Gfi1b	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
NOTCH1	Notch1	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
NOTCH2	Notch2	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
PLXDC2	Plxdc2	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
ESAM	Esam	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
ACE	Ace	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
TRPC6	Trpc6	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
HOXB5	Hoxb5	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
TET2	Tet2	protein-coding gene	Hematopoietic stem cells	Bone	PanglaoDB	PanglaoDB	2022-07-05	
ADAMTS13	Adamts13	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
CYGB	Cygb	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
